Month,Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
1,SPX Index ,-0.979486908252238,0.7606722667969366,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
1,VIX Index  (L1),1.3544279324529438,0.9968969540825169,-4.223238279489106,-3.189368925619835,-2.729839421487603
1,Freddie Mac 30 Year Mortgage Rate,1.1972959970459696,0.9959671477176727,-4.223238279489106,-3.189368925619835,-2.729839421487603
1,U.S. 5-year Treasury constant maturity rate,1.1601245100361526,0.995698463067211,-4.223238279489106,-3.189368925619835,-2.729839421487603
1,CDX HY Spread,-0.7841827810984884,0.8237241610035166,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
1,CDX IG Spread,-0.36489240678925833,0.915797532806881,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
2,SPX Index ,-6.002406547970868,1.6454317058175356e-07,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,VIX Index  (L1),-0.09871585924214522,0.9495662887706695,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,Freddie Mac 30 Year Mortgage Rate,-2.127442314561482,0.23362401803956606,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,U.S. 5-year Treasury constant maturity rate,0.3596799860010293,0.979922861290771,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,CDX HY Spread,-4.531403441718606,0.00017248368213318663,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,CDX IG Spread,-3.861377206206906,0.0023382102277964096,-4.223238279489106,-3.189368925619835,-2.729839421487603
3,SPX Index ,-4.286107023312631,0.00046947419690904473,-4.01203360058309,-3.1041838775510207,-2.6909873469387753
3,VIX Index  (L1),-2.0089117352396775,0.28267933620282315,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
3,Freddie Mac 30 Year Mortgage Rate,-1.3080094114201528,0.6255000782337726,-3.769732625845229,-3.005425537190083,-2.6425009917355373
3,U.S. 5-year Treasury constant maturity rate,-0.6310244354484484,0.8638165654447074,-3.769732625845229,-3.005425537190083,-2.6425009917355373
3,CDX HY Spread,-1.417329619256906,0.5739404636910614,-3.769732625845229,-3.005425537190083,-2.6425009917355373
3,CDX IG Spread,-1.6126270932400886,0.47659668417493545,-3.769732625845229,-3.005425537190083,-2.6425009917355373
4,SPX Index ,-2.5440536397144156,0.10512011511352731,-4.223238279489106,-3.189368925619835,-2.729839421487603
4,VIX Index  (L1),-6.110510101668452,9.357590071481608e-08,-4.223238279489106,-3.189368925619835,-2.729839421487603
4,Freddie Mac 30 Year Mortgage Rate,-1.2690668124200557,0.6432028289371396,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
4,U.S. 5-year Treasury constant maturity rate,-1.5818111751698576,0.49272359112856995,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
4,CDX HY Spread,-4.989048956855971,2.3327755427020914e-05,-4.223238279489106,-3.189368925619835,-2.729839421487603
4,CDX IG Spread,-5.60795608611253,1.2219320102072702e-06,-4.223238279489106,-3.189368925619835,-2.729839421487603
5,SPX Index ,-6.97207721131604,8.61337639324685e-10,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
5,VIX Index  (L1),0.25700169296518305,0.9752834275155756,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
5,Freddie Mac 30 Year Mortgage Rate,-4.041050333872174,0.001210174153656788,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
5,U.S. 5-year Treasury constant maturity rate,-2.523266440698632,0.10991548418076247,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
5,CDX HY Spread,-1.8008565676928245,0.3800365145243927,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
5,CDX IG Spread,-0.9169043073549261,0.7823546272480585,-4.01203360058309,-3.1041838775510207,-2.6909873469387753
6,SPX Index ,1.4210031014676212,0.9972074978477422,-4.223238279489106,-3.189368925619835,-2.729839421487603
6,VIX Index  (L1),1.2180164383694378,0.9961080263104848,-4.223238279489106,-3.189368925619835,-2.729839421487603
6,Freddie Mac 30 Year Mortgage Rate,-1.7141895406088217,0.4238168260057934,-4.223238279489106,-3.189368925619835,-2.729839421487603
6,U.S. 5-year Treasury constant maturity rate,3.1079291400620175,1.0,-4.223238279489106,-3.189368925619835,-2.729839421487603
6,CDX HY Spread,-3.2878861326732634,0.015428724968530837,-3.9240193847656246,-3.0684982031250003,-2.67389265625
6,CDX IG Spread,-2.8793759534705505,0.04779939471349,-3.9240193847656246,-3.0684982031250003,-2.67389265625
7,SPX Index ,1.7859925102661445,0.9983208270595388,-4.223238279489106,-3.189368925619835,-2.729839421487603
7,VIX Index  (L1),-3.9042010202838138,0.0020041465228955034,-3.9644434814814815,-3.0849081481481484,-2.6818144444444445
7,Freddie Mac 30 Year Mortgage Rate,-1.7737012942179484,0.3935942023840866,-4.223238279489106,-3.189368925619835,-2.729839421487603
7,U.S. 5-year Treasury constant maturity rate,-2.078729418488566,0.253153168666445,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
7,CDX HY Spread,0.7008295818968819,0.989854410790666,-4.01203360058309,-3.1041838775510207,-2.6909873469387753
7,CDX IG Spread,-0.08143538583155624,0.9512565332434993,-4.01203360058309,-3.1041838775510207,-2.6909873469387753
8,SPX Index ,-0.8002795413560861,0.8190399406862101,-3.7883858816542486,-3.013097747543462,-2.6463967573696143
8,VIX Index  (L1),-3.4875002619639774,0.008313977097961542,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
8,Freddie Mac 30 Year Mortgage Rate,-1.5321215941442563,0.517565660776504,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
8,U.S. 5-year Treasury constant maturity rate,-2.182148118476977,0.2127883384671579,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
8,CDX HY Spread,-1.559005865330625,0.5041466340962976,-3.7883858816542486,-3.013097747543462,-2.6463967573696143
8,CDX IG Spread,-1.7463081082494978,0.40742479067870585,-3.7883858816542486,-3.013097747543462,-2.6463967573696143
9,SPX Index ,-0.9477939114601229,0.7718262247372737,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
9,VIX Index  (L1),-0.32013030707384665,0.9226044942741868,-4.223238279489106,-3.189368925619835,-2.729839421487603
9,Freddie Mac 30 Year Mortgage Rate,-1.795606412408933,0.3826451593543742,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
9,U.S. 5-year Treasury constant maturity rate,-2.6861902515505744,0.07645859603940908,-4.223238279489106,-3.189368925619835,-2.729839421487603
9,CDX HY Spread,-2.516851291091435,0.11142787434951218,-4.223238279489106,-3.189368925619835,-2.729839421487603
9,CDX IG Spread,-1.8968208215660334,0.33355817151528144,-3.9240193847656246,-3.0684982031250003,-2.67389265625
10,SPX Index ,-2.218841930526983,0.19947813038117312,-3.9240193847656246,-3.0684982031250003,-2.67389265625
10,VIX Index  (L1),-2.1684008329201605,0.2179133185345004,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
10,Freddie Mac 30 Year Mortgage Rate,-0.8884470316265115,0.7917531638079205,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
10,U.S. 5-year Treasury constant maturity rate,-1.7995732127792716,0.3806736021946224,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
10,CDX HY Spread,-1.3077044899640458,0.6256401700725305,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
10,CDX IG Spread,-1.6163310321233193,0.47465331367376595,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
11,SPX Index ,0.8176319678863924,0.9919155152691422,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
11,VIX Index  (L1),0.8247522914676388,0.9920253903360463,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
11,Freddie Mac 30 Year Mortgage Rate,0.6523393965620059,0.9888371132009844,-4.223238279489106,-3.189368925619835,-2.729839421487603
11,U.S. 5-year Treasury constant maturity rate,-2.071661415544774,0.2560612729776696,-4.223238279489106,-3.189368925619835,-2.729839421487603
11,CDX HY Spread,-3.7580774257340552,0.003366569960581419,-4.223238279489106,-3.189368925619835,-2.729839421487603
11,CDX IG Spread,-7.900081251365012,4.208023498778976e-12,-4.223238279489106,-3.189368925619835,-2.729839421487603
12,SPX Index ,-2.138242373135488,0.22941767850374956,-4.223238279489106,-3.189368925619835,-2.729839421487603
12,VIX Index  (L1),-1.9237206599049,0.32098575073782687,-4.223238279489106,-3.189368925619835,-2.729839421487603
12,Freddie Mac 30 Year Mortgage Rate,-1.302289084648493,0.6281244050251905,-4.223238279489106,-3.189368925619835,-2.729839421487603
12,U.S. 5-year Treasury constant maturity rate,-1.2552960092015362,0.6493684050457271,-3.9644434814814815,-3.0849081481481484,-2.6818144444444445
12,CDX HY Spread,-0.8402811275162221,0.8070025808935071,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
12,CDX IG Spread,4.498002128059698,1.0,-4.223238279489106,-3.189368925619835,-2.729839421487603
