Month,Column,ADF Statistic,p-value,Critical Value (1%),Critical Value (5%),Critical Value (10%)
1,SPX Index ,-2.1048171777168974,0.24258200728735418,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
1,VIX Index  (L1),-8.919630645679717,1.0496315446055402e-14,-4.223238279489106,-3.189368925619835,-2.729839421487603
1,Freddie Mac 30 Year Mortgage Rate,-0.09882900577474593,0.9495550442191607,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
1,U.S. 5-year Treasury constant maturity rate,-0.6998892865126687,0.846778213091609,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
1,CDX HY Spread,-6.124197567956071,8.708497486303535e-08,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
1,CDX IG Spread,-7.575549774103139,2.7678778385275717e-11,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
2,SPX Index ,-1.4209122016648115,0.5722105061431741,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,VIX Index  (L1),-0.10976521874961281,0.94845715164469,-4.01203360058309,-3.1041838775510207,-2.6909873469387753
2,Freddie Mac 30 Year Mortgage Rate,-24.699913443745313,0.0,-4.223238279489106,-3.189368925619835,-2.729839421487603
2,U.S. 5-year Treasury constant maturity rate,1.0701983715035082,0.9949540779173277,-3.9240193847656246,-3.0684982031250003,-2.67389265625
2,CDX HY Spread,-1.4496481257066418,0.5582565888620209,-4.01203360058309,-3.1041838775510207,-2.6909873469387753
2,CDX IG Spread,-2.0418083707003842,0.2685476243432589,-4.223238279489106,-3.189368925619835,-2.729839421487603
3,SPX Index ,-5.375016692124644,3.821426509886047e-06,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
3,VIX Index  (L1),-5.554915808617984,1.588941267166091e-06,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
3,Freddie Mac 30 Year Mortgage Rate,0.4155293885077549,0.9820664868378072,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
3,U.S. 5-year Treasury constant maturity rate,-4.792669351527712,5.616952237505451e-05,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
3,CDX HY Spread,-1.463682891207455,0.551394345057615,-4.068853732362312,-3.1271488757396453,-2.7017297633136095
3,CDX IG Spread,-2.907780657803904,0.04445066528451135,-3.9644434814814815,-3.0849081481481484,-2.6818144444444445
4,SPX Index ,1.5802326051412627,0.9977970433239325,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
4,VIX Index  (L1),3.552731381986232,1.0,-4.137829282407408,-3.1549724074074077,-2.7144769444444443
4,Freddie Mac 30 Year Mortgage Rate,-3.1283321383926648,0.024526301387402614,-4.01203360058309,-3.1041838775510207,-2.6909873469387753
